artist_query,channel_id_found,channel_title_verified,subscriber_count,view_count,video_count,total_top10_video_likes
Tobias Berntsson,UCLvFF20k5Tp25gnUdABuP0w,Tobias Berntsson - Topic,21.0,13790.0,5.0,115.0
João Gustavo e Murilo;Analaga;Atitude 67,UCC3tnIHx1qtbLTbl9PdC2nQ,Atitude 67 - Topic,26100.0,76199990.0,260.0,289116.0
Dj Victor;Mc PP da VS;Mc Ruzika;MC Ryan SP;Mc Kadu;MC Menor da VG;Mc Davi,UCujfS-YxPDdG3A2_CIua_1g,MC Menor da VG - Topic,54100.0,114532501.0,189.0,671168.0
El Michels Affair;Lee Fields;The Shacks,,,,,,
Charly Black;Daddy Yankee,UCgUB9hkKK5aZU0Dq-m6Eolw,Charly Black - Topic,21400.0,99616564.0,606.0,699445.0
Shashwat Singh,UCirHdAqAlP-mRIs1KRBiQQA,Shashwat Singh - Topic,0.0,17.0,4.0,0.0
Ashes Remain,UCxc3RDl7iaHW0uJWfD-Q9Pg,Only Ashes Remain - Topic,0.0,0.0,0.0,0.0
MIGI,UCB1mVYEQz4T1vGNbxNm5ahQ,MIGI - Topic,106.0,133056.0,7.0,663.0
Jürgen Drews;Matthias Reim,UCq9NEMslRBKuATLrdL7H7Cw,Matthias Reim - Topic,2070.0,105282975.0,924.0,103792.0
José Rodríguez;Landa La Sensación,UCAY7aG8rjZkZCIVGqNLhCng,Landa La Sensación - Topic,1280.0,679017.0,59.0,4648.0
A.R. Rahman;Abhay Jodhpurkar;Harini,UC9sPMhzAbJc6ahgwkDaRmWw,Abhay Jodhpurkar - Topic,834.0,41703544.0,183.0,222607.0
Partyraiser;Destructive Tendencies,UCyqwdQ_KdhZY4hcKASSLIMQ,Partyraiser - Topic,8840.0,3966758.0,132.0,34056.0
Modal Colours,UCTxJruSim_iIC1EooLCEqAQ,Modal Colours - Topic,0.0,697.0,4.0,5.0
Kygo;Dean Lewis,UCUC_Qp7oUMwi4BIN2XH6G7Q,Dean Lewis - Topic,407.0,359460661.0,671.0,2269900.0
ATB;Topic;A7S,UCVkV7KFvVLDhGCpoj8OJ2lA,ATB - Topic,10200.0,209841897.0,2086.0,1204911.0
Luciano Pavarotti;National Philharmonic Orchestra;Kurt Herbert Adler,,,,,,
Marshmello;CHVRCHES,UCrxpwXq8wCTskOQq5d_KoqQ,Marshmello - Topic,24100.0,1163746880.0,581.0,6341520.0
Kiko Chicabana,UCATL_35FDJk3WwYgrhpFwvw,Kiko Chicabana - Topic,52200.0,31077692.0,180.0,173353.0
Luana Berti,UC2IMv5qxIrc9X745QrkN_HQ,Luana Berti - Topic,587.0,226282.0,64.0,2696.0
Kenny G,UCIe0lawpFRWMFCTSsJmcwKQ,Kenny G,963000.0,455298671.0,35.0,15673.0
Wiener Philharmoniker;Claudio Abbado,UCZD7oOIgjPDMkjY33_SbgGQ,Claudio Abbado - Topic,7190.0,1061933.0,1766.0,1949.0
Jason Mraz;Colbie Caillat,UCssMfOd5BU1X9PQMWkzDGbA,Colbie Caillat - Topic,11800.0,96438511.0,761.0,312210.0
Sachet Tandon;The Fusion Project,UCWacu_XCRrReAebduGSrGJQ,The Fusion Project - Topic,85.0,3297.0,14.0,40.0
Too Much Joy,UCaS6hAeJPwHqSpp9Q3stclg,Too Much Joy - Topic,434.0,210069.0,226.0,992.0
張偉文;胡美儀,UCjp4hbsLF7OxCJrgWmE9CWQ,粤调粿粿,19.0,8777.0,39.0,0.0
Daniel Adams-Ray;Erik Lundin,,,,,,
Foster;Chelsea Collins,,,,,,
Dabzee;Simhakutty;Abby,,,,,,
